id,name,category,supplier_id,price,created_at
52,Eco Standing Desk,Office,8,112.54,2022-11-11
53,Classic Speaker,Electronics,2,43.07,2022-11-09
54,Classic Lamp,Home,11,185.03,2023-09-24
55,Deluxe Keyboard,Electronics,9,84.93,2023-05-21
56,Eco Jacket,Apparel,5,233.79,2022-08-03
57,Everyday Chair,Office,8,74.83,2022-11-21
58,Prime Hoodie,Apparel,4,304.62,2023-08-23
59,Prime Monitor,Electronics,14,289.19,2023-04-10
60,Lite Socks,Apparel,2,252.79,2022-10-30
61,Pro Webcam,Electronics,11,235.72,2022-03-08
62,Eco Keyboard,Electronics,7,38.36,2023-03-31
63,Lite Desk Organizer,Office,14,169.24,2023-07-05
64,Mini Cookware Set,Home,8,200.13,2022-01-30
65,Lite Charger,Electronics,4,135.3,2023-04-08
66,Deluxe Headphones,Electronics,3,45.84,2022-04-12
67,Ultra Cookware Set,Home,16,237.12,2023-07-10
68,Eco Cap,Apparel,2,370.42,2022-04-30
69,Prime Lamp,Home,13,234.52,2022-11-09
70,Lite Water Bottle,Outdoors,14,238.41,2022-08-31
71,Lite Desk Organizer,Office,7,14.01,2022-04-17
72,Eco Tent,Outdoors,19,195.51,2023-11-02
73,Pro Whiteboard,Office,11,314.18,2022-02-15
74,Pro Charger,Electronics,16,197.23,2022-02-27
75,Deluxe Desk Organizer,Office,2,198.83,2022-11-05
76,Classic Desk Organizer,Office,3,230.83,2023-10-19
77,Classic Whiteboard,Office,8,192.03,2023-07-20
78,Classic Jacket,Apparel,8,135.97,2022-07-06
79,Everyday Notebook,Office,20,210.67,2023-08-18
80,Prime Speaker,Electronics,19,13.54,2022-11-04
81,Deluxe Pen Set,Office,9,331.39,2022-01-07
82,Max Blanket,Home,9,60.4,2023-09-20
83,Ultra Socks,Apparel,10,223.84,2022-08-09
84,Max T-Shirt,Apparel,1,270.53,2022-03-18
85,Everyday Jacket,Apparel,4,116.09,2022-06-20
86,Deluxe Keyboard,Electronics,17,292.16,2023-04-07
87,Ultra Water Bottle,Outdoors,3,308.62,2022-08-13
88,Max Mug,Home,6,366.82,2022-03-17
89,Deluxe Socks,Apparel,10,95.93,2022-06-15
90,Deluxe Notebook,Office,18,224.17,2022-01-27
91,Classic Backpack,Outdoors,9,151.51,2022-08-05
92,Classic Speaker,Electronics,18,324.26,2023-08-04
93,Mini Mug,Home,20,130.27,2022-05-22
94,Max Blanket,Home,9,119.91,2023-10-30
95,Lite Pen Set,Office,2,208.45,2023-09-26
96,Prime Monitor,Electronics,2,374.74,2022-06-29
97,Max Keyboard,Electronics,9,70.02,2023-01-09
98,Lite Vacuum,Home,14,176.86,2022-02-01
99,Pro Notebook,Office,3,396.99,2022-04-17
100,Deluxe Lamp,Home,12,300.7,2023-09-17
101,Deluxe Desk Organizer,Office,14,356.86,2022-06-06
102,Pro Mug,Home,12,209.95,2023-09-18
103,Max Keyboard,Electronics,8,129.79,2022-01-16
104,Max Charger,Electronics,14,266.36,2023-06-25
105,Ultra Desk Organizer,Office,6,152.59,2023-09-13
106,Prime Lamp,Home,6,299.98,2022-03-08
107,Prime Hiking Poles,Outdoors,8,108.67,2022-01-04
108,Ultra Hiking Poles,Outdoors,4,100.18,2023-10-18
109,Pro Cap,Apparel,8,53.49,2022-02-17
110,Lite Mug,Home,10,65.55,2023-08-05
111,Eco Lamp,Home,7,75.81,2022-09-15
112,Max Sneakers,Apparel,3,350.45,2023-02-24
113,Max Hiking Poles,Outdoors,17,82.59,2022-07-16
114,Deluxe Sneakers,Apparel,1,312.07,2022-08-06
115,Mini Keyboard,Electronics,19,388.87,2022-12-16
116,Pro Tent,Outdoors,20,61.84,2022-12-17
117,Max Socks,Apparel,11,10.5,2022-05-02
118,Everyday Jacket,Apparel,4,57.07,2022-06-10
119,Everyday Hoodie,Apparel,9,272.68,2023-11-10
120,Prime Headphones,Electronics,17,205.0,2022-03-27
